sample	weighted_NSTI
1035	0.06141357798162217
1072	0.057935503269758055
1133	0.11624210934294789
1163	0.033130976665056024
1167	0.039413385745035334
1244	0.03773564125368191
1314	0.05583058911072812
1343	0.09024801379555132
1347	0.05402654216714465
1351	0.04445356039120451
1365	0.032660074339022904
1368	0.03436798136709366
1380	0.03984969739139079
1386	0.04351617639083988
1431	0.09750411502440581
1441	0.030179674995843068
1457	0.09952167048613371
1466	0.03392835267602858
1488	0.06290159033352578
1493	0.04064754189868566
1496	0.0787995496785467
1512	0.02517979402739702
1552	0.07202967789018228
1560	0.09367268008297182
1574	0.03284720677697128
1585	0.0270187435098126
1607	0.05519493272155482
1608	0.12432204021312311
1630	0.03398037875538818
1639	0.032712153266138674
1650	0.03667847336075752
1655	0.07359591579802147
1661	0.03649213036242263
1667	0.03383917722669579
1730	0.08545695245339577
1758	0.03128043610340483
1774	0.04735869462717256
1799	0.06552082022489261
1806	0.06354384858297636
1818	0.043927635268574315
1822	0.06394378847468905
1825	0.03644398885950083
1864	0.035740092637948646
1871	0.0657485094242378
1876	0.06484948199837137
1913	0.06268693193865882
1972	0.042810726706380496
1973	0.046768007238072944
2024	0.06562740217130998
2028	0.07392703209171579
2074	0.05057435119174799
2088	0.08670713266887373
2104	0.0553282996070956
2108	0.06918049526319107
2118	0.041007369696923666
2137	0.062338930660278714
3003	0.1190002669908826
3011	0.06115432811222108
3012	0.04632532248581509
3021	0.13993658219982621
3022	0.06173610990240334
3024	0.03837795141018523
3031	0.030996494820331653
3036	0.06166971801651837
3040	0.05374800931303714
3046	0.032645781592677274
3048	0.03584732884555285
3049	0.059431954527169255
3052	0.038176370903224115
3053	0.030679038349746675
3059	0.0690844059045341
3060	0.03796683387905917
3063	0.0357810045509619
3068	0.030763637664863414
3073	0.09119904609195138
3080	0.04927666164649995
3086	0.04996119000446911
3087	0.02290118790881478
3090	0.06532580503185874
3128	0.032133686931630726
3162	0.054776561613221815
3173	0.06840977938538086
3191	0.046335404312294846
3201	0.04899390317270077
3213	0.051097774876672705
3217	0.05378099210918154
3222	0.0423485814202326
8223	0.035057203297917054
8288	0.04373046568067205
8876	0.03448180806918999
