,Progression,
EC:1.1.1.102,TRUE,3-dehydrosphinganine reductase
EC:1.1.1.107,TRUE,Pyridoxal 4-dehydrogenase
EC:1.1.1.173,TRUE,L-rhamnose 1-dehydrogenase
EC:1.1.1.202,TRUE,"1,3-propanediol dehydrogenase"
EC:1.1.1.206,TRUE,Tropinone reductase I
EC:1.1.1.377,TRUE,L-rhamnose 1-dehydrogenase (NADP(+))
EC:1.1.1.378,TRUE,L-rhamnose 1-dehydrogenase (NAD(P)(+))
EC:1.1.1.65,TRUE,Pyridoxine 4-dehydrogenase
EC:1.1.3.12,TRUE,Pyridoxine 4-oxidase
EC:1.1.3.48,TRUE,3-deoxy-alpha-D-manno-octulosonate 8-oxidase
EC:1.1.3.8,TRUE,L-gulonolactone oxidase
EC:1.1.5.8,TRUE,Quinate dehydrogenase (quinone)
EC:1.1.98.2,TRUE,Glucose-6-phosphate dehydrogenase (coenzyme-F420)
EC:1.1.99.28,TRUE,Glucose-fructose oxidoreductase
EC:1.10.3.3,TRUE,L-ascorbate oxidase
EC:1.13.11.16,TRUE,L-ascorbate oxidase
EC:1.13.11.25,TRUE,dioxygenase
EC:1.13.11.6,TRUE,"Hydroquinone 1,2-dioxygenase"
EC:1.13.12.3,TRUE,Tryptophan 2-monooxygenase
EC:1.14.12.4,TRUE,3-hydroxy-2-methylpyridinecarboxylate dioxygenase
EC:1.14.13.113,TRUE,FAD-dependent urate hydroxylase
EC:1.14.13.141,TRUE,Cholest-4-en-3-one 26-monooxygenase
EC:1.14.13.142,TRUE,3-ketosteroid 9-alpha-monooxygenase
EC:1.14.13.148,TRUE,Trimethylamine monooxygenase
EC:1.14.13.20,TRUE,"2,4-dichlorophenol 6-monooxygenase"
EC:1.14.13.70,TRUE,Sterol 14-alpha-demethylase
EC:1.14.13.84,TRUE,4-hydroxyacetophenone monooxygenase
EC:1.14.13.9,TRUE,Kynurenine 3-monooxygenase
EC:1.14.99.46,TRUE,Pyrimidine monooxygenase
EC:1.14.99.48,TRUE,Heme oxygenase (staphylobilin-producing)
EC:1.14.99.50,TRUE,Gamma-glutamyl hercynylcysteine S-oxide synthase
EC:1.2.1.81,TRUE,Sulfoacetaldehyde dehydrogenase (acylating)
EC:1.2.98.1,TRUE,
EC:1.3.1.104,TRUE,
EC:1.3.1.32,TRUE,
EC:1.3.1.85,TRUE,
EC:1.3.7.8,TRUE,
EC:1.3.7.9,TRUE,
EC:1.3.8.12,TRUE,
EC:1.3.99.32,TRUE,
EC:1.3.99.4,TRUE,
EC:1.3.99.5,TRUE,
EC:1.4.1.18,TRUE,
EC:1.4.1.20,TRUE,
EC:1.4.9.1,TRUE,
EC:1.5.8.1,TRUE,
EC:1.5.8.2,TRUE,
EC:1.8.1.14,TRUE,
EC:1.8.2.1,TRUE,
EC:1.8.2.3,TRUE,
EC:1.8.3.1,TRUE,
EC:2.1.1.245,TRUE,
EC:2.1.3.9,TRUE,
EC:2.3.1.178,TRUE,
EC:2.3.2.16,TRUE,
EC:2.4.1.252,TRUE,
EC:2.6.1.109,TRUE,
EC:2.6.1.30,TRUE,
EC:2.6.1.81,TRUE,
EC:2.6.1.86,TRUE,
EC:2.7.1.14,TRUE,
EC:2.7.1.27,TRUE,
EC:2.7.1.47,TRUE,
EC:2.7.10.1,TRUE,
EC:2.7.7.47,TRUE,
EC:3.1.1.27,TRUE,
EC:3.1.2.1,TRUE,
EC:3.1.3.77,TRUE,
EC:3.1.3.87,TRUE,
EC:3.1.4.4,TRUE,
EC:3.1.4.52,TRUE,
EC:3.13.1.1,TRUE,
EC:3.2.1.3,TRUE,
EC:3.3.2.8,TRUE,
EC:3.4.21.62,TRUE,
EC:3.4.24.29,TRUE,
EC:3.4.24.40,TRUE,
EC:3.5.1.101,TRUE,
EC:3.5.1.29,TRUE,
EC:3.5.1.41,TRUE,
EC:3.5.1.77,TRUE,
EC:3.5.99.5,TRUE,
EC:3.7.1.14,TRUE,
EC:3.7.1.17,TRUE,
EC:4.1.1.46,TRUE,
EC:4.1.1.51,TRUE,
EC:4.1.2.44,TRUE,
EC:4.1.3.24,TRUE,
EC:4.1.3.25,TRUE,
EC:4.2.1.118,TRUE,
EC:4.2.1.130,TRUE,
EC:4.2.1.141,TRUE,
EC:4.2.1.147,TRUE,
EC:4.2.1.148,TRUE,
EC:4.2.1.57,TRUE,
EC:4.2.1.90,TRUE,
EC:4.2.3.130,TRUE,
EC:4.4.1.25,TRUE,
EC:4.6.1.13,TRUE,
EC:4.6.1.2,TRUE,
EC:4.99.1.5,TRUE,
EC:5.1.2.2,TRUE,
EC:5.1.3.5,TRUE,
EC:5.2.1.13,TRUE,
EC:5.3.2.5,TRUE,
EC:5.4.1.3,TRUE,
EC:6.2.1.25,TRUE,
EC:6.2.1.27,TRUE,
EC:6.3.1.11,TRUE,
EC:6.3.2.38,TRUE,
EC:6.3.2.39,TRUE,
